Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2019,7,BEL,30545,FLL,32467,AD,2835,96,18.0,0,743204.0,3132.0,2790.0,116860.0,0,0,0,3
2019,5,BEL,30545,FLL,32467,AD,2835,96,12.0,0,622941.0,2088.0,1715.0,66282.0,0,0,0,2
2019,2,BEL,30545,FLL,32467,AD,2835,96,16.0,0,563642.0,2784.0,1527.0,61021.0,0,0,0,1
2018,10,BEL,30545,FLL,32467,AD,2835,96,13.0,0,466356.0,2262.0,1697.0,66981.0,0,0,0,4
2019,8,BEL,30545,FLL,32467,AD,2835,96,14.0,0,461760.0,2436.0,1761.0,73889.0,0,0,0,3
2019,3,BEL,30545,FLL,32467,AD,2835,96,18.0,0,620547.0,3132.0,2082.0,83349.0,0,0,0,1
2019,1,BEL,30545,FLL,32467,AD,2835,96,16.0,0,664378.0,2784.0,2359.0,101515.0,0,0,0,1
2019,6,BEL,30545,FLL,32467,AD,2835,96,9.0,0,364852.0,1566.0,1353.0,51685.0,0,0,0,2
2019,4,BEL,30545,FLL,32467,AD,2835,96,14.0,0,571890.0,2436.0,2101.0,79376.0,0,0,0,2
2019,9,BEL,30545,FLL,32467,AD,2835,96,12.0,0,402690.0,2088.0,1548.0,59499.0,0,0,0,3
2018,12,BEL,30545,FLL,32467,AD,2835,96,18.0,0,662950.0,3132.0,2725.0,112004.0,0,0,0,4
2019,1,BEL,30545,MCO,31454,AD,2990,96,1.0,0,35165.0,174.0,99.0,3672.0,0,0,0,1
2019,3,BEL,30545,MLB,33360,AD,2944,96,3.0,0,119533.0,0.0,0.0,0.0,0,0,0,1
2019,2,BEL,30545,MLB,33360,AD,2944,96,1.0,0,39259.0,0.0,0.0,0.0,0,0,0,1
2019,6,BEL,30545,MLB,33360,AD,2944,96,1.0,0,39972.0,0.0,0.0,0.0,0,0,0,2
2019,4,BEL,30545,MLB,33360,AD,2944,96,4.0,0,145402.0,0.0,0.0,0.0,0,0,0,2
2019,5,BEL,30545,MLB,33360,AD,2944,96,5.0,0,77862.0,0.0,0.0,0.0,0,0,0,2
2019,4,CNF,30610,MCO,31454,AD,4141,96,13.0,0,1336975.0,3523.0,3330.0,311839.0,0,0,0,2
2019,5,CNF,30610,MCO,31454,AD,4141,96,5.0,0,482526.0,1355.0,1282.0,166465.0,0,0,0,2
2019,2,CNF,30610,MCO,31454,AD,4141,96,6.0,0,614737.0,1626.0,1362.0,163577.0,0,0,0,1
2019,3,CNF,30610,MCO,31454,AD,4141,96,11.0,0,1135633.0,2981.0,2483.0,263718.0,0,0,0,1
2019,6,CNF,30610,MCO,31454,AD,4141,96,12.0,0,912545.0,3252.0,2977.0,262211.0,0,0,0,2
2019,7,CNF,30610,MCO,31454,AD,4141,96,12.0,0,1226243.0,3252.0,3032.0,227610.0,0,0,0,3
2019,1,CNF,30610,MCO,31454,AD,4141,96,13.0,0,1304483.0,3523.0,3217.0,489755.0,0,0,0,1
2018,12,CNF,30610,MCO,31454,AD,4141,96,13.0,0,1315750.0,3523.0,3301.0,449132.0,0,0,0,4
2018,11,CNF,30610,MCO,31454,AD,4141,96,9.0,0,929031.0,2439.0,2246.0,428934.0,0,0,0,4
2018,10,CNF,30610,MCO,31454,AD,4141,96,10.0,0,1014396.0,2710.0,2271.0,341937.0,0,0,0,4
2018,10,CNF,30610,MCO,31454,AD,4141,96,1.0,0,101930.0,271.0,207.0,7726.0,0,0,0,4
2019,9,CNF,30610,MCO,31454,AD,4141,96,4.0,0,408885.0,1084.0,932.0,113843.0,0,0,0,3
2019,8,CNF,30610,MCO,31454,AD,4141,96,14.0,0,1369683.0,3794.0,2738.0,365420.0,0,0,0,3
2019,9,CWF,31205,MCN,33155,AD,586,96,1.0,0,0.0,0.0,0.0,0.0,0,0,0,3
2019,8,FLL,32467,BEL,30545,AD,2835,96,14.0,0,617775.0,2436.0,1806.0,130625.0,0,0,0,3
2018,10,FLL,32467,BEL,30545,AD,2835,96,12.0,0,431022.0,2088.0,1405.0,100965.0,0,0,0,4
2019,2,FLL,32467,BEL,30545,AD,2835,96,16.0,0,563642.0,2784.0,2021.0,156145.0,0,0,0,1
2019,1,FLL,32467,BEL,30545,AD,2835,96,3.0,0,136173.0,522.0,424.0,30633.0,0,0,0,1
2019,1,FLL,32467,BEL,30545,AD,2835,96,1.0,0,46200.0,174.0,137.0,9966.0,0,0,0,1
2018,12,FLL,32467,BEL,30545,AD,2835,96,17.0,0,238511.0,870.0,748.0,60414.0,0,0,0,4
2019,4,FLL,32467,BEL,30545,AD,2835,96,14.0,0,514499.0,2436.0,1725.0,125844.0,0,0,0,2
2019,3,FLL,32467,BEL,30545,AD,2835,96,18.0,0,671152.0,3132.0,2451.0,176583.0,0,0,0,1
2019,5,FLL,32467,BEL,30545,AD,2835,96,12.0,0,647911.0,2088.0,1753.0,120824.0,0,0,0,2
2019,6,FLL,32467,BEL,30545,AD,2835,96,9.0,0,409594.0,1566.0,1281.0,96426.0,0,0,0,2
2019,7,FLL,32467,BEL,30545,AD,2835,96,18.0,0,808269.0,3132.0,2558.0,181929.0,0,0,0,3
2019,9,FLL,32467,BEL,30545,AD,2835,96,12.0,0,533500.0,2088.0,1541.0,115771.0,0,0,0,3
2018,11,FLL,32467,BEL,30545,AD,2835,96,12.0,0,46979.0,174.0,157.0,11799.0,0,0,0,4
2018,11,FLL,32467,BEL,30545,AD,2835,96,1.0,0,37151.0,0.0,0.0,0.0,0,0,0,4
2019,5,FLL,32467,GRU,30966,AD,4082,96,1.0,0,97654.0,242.0,239.0,17415.0,0,0,0,2
2018,10,FLL,32467,MEX,33252,AD,1289,96,1.0,0,104344.0,0.0,0.0,0.0,0,0,0,4
2019,9,FLL,32467,MEX,33252,AD,1289,96,1.0,0,0.0,0.0,0.0,0.0,0,0,0,3
